7.2 ,15.0 ,19.5 ,0.7 ,7.1 ,13.2 ,14.4 ,23.2 ,27.0 ,2.0 ,2.2 ,4.1 ,4452.0 
8.3 ,15.0 ,19.8 ,2.6 ,8.7 ,14.5 ,14.3 ,21.0 ,25.8 ,4.2 ,6.1 ,5.5 ,5367.0 
8.5 ,16.4 ,20.9 ,2.2 ,9.3 ,14.8 ,15.2 ,23.8 ,27.7 ,2.2 ,1.8 ,2.4 ,4512.0 
9.7 ,16.0 ,20.1 ,4.7 ,10.6 ,14.9 ,14.8 ,21.3 ,25.6 ,5.6 ,5.1 ,8.7 ,4406.0 
6.5 ,13.5 ,18.6 ,0.6 ,7.6 ,13.7 ,14.0 ,20.9 ,24.9 ,0.8 ,4.8 ,4.6 ,4590.0 
8.4 ,14.0 ,18.6 ,3.7 ,9.7 ,14.9 ,13.0 ,18.6 ,23.2 ,1.8 ,3.0 ,2.9 ,4068.0 
7.8 ,14.7 ,20.3 ,3.7 ,10.3 ,16.2 ,12.4 ,19.7 ,25.1 ,1.1 ,3.5 ,5.1 ,2100.0 
7.5 ,13.7 ,18.7 ,4.0 ,10.2 ,15.5 ,11.8 ,18.3 ,22.9 ,0.8 ,3.2 ,5.5 ,3085.0 
8.1 ,15.0 ,20.6 ,2.9 ,9.8 ,15.5 ,13.6 ,20.9 ,26.2 ,2.2 ,2.8 ,3.8 ,5000.0 
7.2 ,14.0 ,20.0 ,2.6 ,9.5 ,15.6 ,12.3 ,19.5 ,25.7 ,2.6 ,3.2 ,3.2 ,4462.0 
10.1 ,15.9 ,21.8 ,5.0 ,10.8 ,16.7 ,15.8 ,21.6 ,27.5 ,1.7 ,2.4 ,3.0 ,4706.0 
10.0 ,15.0 ,20.1 ,5.0 ,10.3 ,15.8 ,15.4 ,20.3 ,25.3 ,4.0 ,3.7 ,5.1 ,4300.0 
9.0 ,15.1 ,20.8 ,3.9 ,10.1 ,16.0 ,14.8 ,21.0 ,26.5 ,2.6 ,3.7 ,5.4 ,4237.0 
9.6 ,13.9 ,18.7 ,5.6 ,10.3 ,15.6 ,14.6 ,18.5 ,23.0 ,5.3 ,4.8 ,4.4 ,5477.0 
6.5 ,13.5 ,18.6 ,0.6 ,7.6 ,13.7 ,14.0 ,20.9 ,24.9 ,0.8 ,4.8 ,4.6 ,3672.0 
6.7 ,13.3 ,19.2 ,0.3 ,6.6 ,13.6 ,13.1 ,20.5 ,25.9 ,2.1 ,2.4 ,4.0 ,4261.0 
7.3 ,13.9 ,19.8 ,0.6 ,7.4 ,13.7 ,14.1 ,20.9 ,26.9 ,2.1 ,2.8 ,2.8 ,4428.0 
8.9 ,13.8 ,19.1 ,2.9 ,8.3 ,14.2 ,14.7 ,19.3 ,25.1 ,4.7 ,3.7 ,6.9 ,5781.0 
8.9 ,14.9 ,20.9 ,2.9 ,8.6 ,14.9 ,15.2 ,21.6 ,27.3 ,2.1 ,2.2 ,2.8 ,4607.0 
9.9 ,14.5 ,19.5 ,5.3 ,10.0 ,15.3 ,14.7 ,19.0 ,24.5 ,6.1 ,5.7 ,6.9 ,4814.0 
6.5 ,13.9 ,19.7 ,0.9 ,7.8 ,13.7 ,13.7 ,21.6 ,26.6 ,1.7 ,2.8 ,1.4 ,4600.0 
8.7 ,16.0 ,19.9 ,4.8 ,11.0 ,15.4 ,13.0 ,20.6 ,24.4 ,3.1 ,3.0 ,1.3 ,4130.0 
7.8 ,15.1 ,21.5 ,4.2 ,10.9 ,17.0 ,12.3 ,20.3 ,26.4 ,2.2 ,3.1 ,1.9 ,2251.0 
7.7 ,13.8 ,20.0 ,4.9 ,10.8 ,16.6 ,11.4 ,17.8 ,24.1 ,1.8 ,2.9 ,1.8 ,3360.0 
8.7 ,15.5 ,21.1 ,3.3 ,9.9 ,15.9 ,14.7 ,21.4 ,26.6 ,2.1 ,3.7 ,1.2 ,4700.0 
7.9 ,14.3 ,20.4 ,3.2 ,9.7 ,16.3 ,13.3 ,19.6 ,25.2 ,1.9 ,2.6 ,1.4 ,4356.0 
10.9 ,17.4 ,21.7 ,5.9 ,11.6 ,16.6 ,16.6 ,23.4 ,27.7 ,1.2 ,1.4 ,0.7 ,4915.0 
10.6 ,16.5 ,20.2 ,5.6 ,11.2 ,15.8 ,16.2 ,22.5 ,25.2 ,1.5 ,2.1 ,2.6 ,4330.0 
9.8 ,15.8 ,21.5 ,4.7 ,10.7 ,16.9 ,16.0 ,22.0 ,27.1 ,1.4 ,3.3 ,1.0 ,4049.0 
10.8 ,15.5 ,19.3 ,7.5 ,12.2 ,16.3 ,15.0 ,19.7 ,23.2 ,1.9 ,3.4 ,2.3 ,5455.0 
6.5 ,13.9 ,19.7 ,0.9 ,7.8 ,13.7 ,13.7 ,21.6 ,26.6 ,1.7 ,2.8 ,1.4 ,3650.0 
6.7 ,13.8 ,19.5 ,-0.2 ,6.3 ,13.0 ,14.2 ,21.4 ,26.6 ,2.4 ,3.0 ,1.5 ,4840.0 
7.3 ,14.3 ,20.2 ,0.1 ,6.6 ,13.6 ,15.2 ,22.1 ,27.3 ,2.6 ,2.9 ,1.2 ,4348.0 
9.4 ,14.7 ,19.4 ,3.4 ,8.7 ,14.7 ,15.4 ,20.5 ,24.4 ,2.2 ,3.2 ,2.3 ,5938.0 
9.4 ,16.0 ,20.6 ,3.2 ,9.2 ,14.5 ,16.1 ,23.0 ,27.2 ,1.7 ,2.6 ,1.0 ,4811.0 
10.0 ,15.5 ,19.8 ,5.1 ,10.8 ,15.7 ,15.0 ,20.2 ,24.2 ,3.2 ,3.9 ,2.4 ,4484.0 
9.3 ,15.2 ,19.1 ,3.4 ,8.5 ,14.1 ,16.4 ,23.0 ,25.5 ,1.7 ,0.9 ,6.4 ,4279.0 
9.8 ,16.3 ,20.3 ,5.5 ,11.8 ,16.1 ,14.3 ,21.3 ,24.5 ,3.2 ,1.1 ,2.2 ,3938.0 
10.3 ,16.1 ,19.9 ,6.2 ,11.2 ,15.8 ,15.1 ,21.5 ,24.5 ,2.0 ,1.0 ,6.9 ,2556.0 
9.6 ,15.2 ,18.8 ,6.3 ,11.5 ,15.5 ,13.9 ,19.9 ,22.8 ,1.8 ,1.4 ,4.3 ,3479.0 
10.4 ,16.2 ,20.2 ,4.9 ,9.8 ,15.3 ,16.5 ,22.7 ,25.6 ,1.5 ,0.7 ,4.7 ,5000.0 
9.3 ,15.0 ,19.8 ,4.7 ,9.9 ,15.8 ,15.2 ,21.1 ,25.6 ,2.2 ,1.3 ,8.2 ,4480.0 
11.4 ,17.4 ,21.1 ,6.3 ,11.6 ,16.2 ,17.1 ,23.6 ,26.3 ,1.7 ,1.0 ,5.7 ,4865.0 
10.6 ,15.7 ,19.6 ,6.1 ,10.5 ,15.4 ,15.9 ,21.3 ,24.3 ,2.5 ,1.8 ,5.7 ,4250.0 
11.3 ,16.7 ,21.2 ,6.2 ,11.1 ,16.8 ,17.9 ,23.1 ,26.4 ,2.2 ,1.8 ,7.4 ,4736.0 
11.3 ,15.6 ,19.1 ,8.2 ,12.4 ,16.3 ,15.6 ,19.6 ,22.4 ,3.4 ,1.5 ,8.3 ,4962.0 
9.3 ,15.2 ,19.1 ,3.4 ,8.5 ,14.1 ,16.4 ,23.0 ,25.5 ,1.7 ,0.9 ,6.4 ,3574.0 
8.5 ,14.5 ,19.0 ,1.4 ,6.5 ,13.4 ,15.7 ,22.5 ,25.1 ,1.3 ,0.6 ,4.9 ,4567.0 
8.7 ,14.4 ,19.4 ,1.6 ,6.5 ,13.3 ,16.1 ,22.4 ,26.0 ,1.5 ,1.0 ,5.5 ,4312.0 
10.3 ,15.0 ,19.4 ,4.5 ,9.0 ,14.9 ,16.6 ,21.4 ,24.2 ,3.7 ,1.2 ,8.7 ,5687.0 
10.4 ,16.4 ,20.5 ,4.2 ,9.4 ,14.9 ,16.9 ,23.7 ,26.3 ,2.0 ,1.3 ,4.1 ,4614.0 
10.7 ,15.5 ,19.6 ,5.7 ,10.2 ,15.3 ,15.9 ,21.0 ,24.3 ,4.4 ,2.6 ,11.1 ,4869.0 
8.6 ,14.4 ,19.7 ,2.2 ,8.6 ,14.5 ,16.0 ,21.5 ,26.1 ,1.4 ,4.2 ,4.4 ,4161.0 
10.1 ,15.5 ,19.4 ,5.6 ,10.8 ,15.5 ,14.4 ,20.3 ,23.7 ,1.9 ,2.4 ,3.0 ,3920.0 
9.3 ,15.4 ,20.9 ,4.8 ,11.0 ,16.8 ,14.4 ,20.3 ,25.5 ,1.4 ,4.0 ,4.0 ,4160.0 
8.5 ,14.1 ,19.4 ,4.8 ,10.8 ,16.3 ,12.8 ,18.1 ,23.2 ,1.4 ,3.6 ,4.1 ,3475.0 
9.8 ,15.3 ,20.1 ,3.6 ,9.3 ,14.6 ,16.3 ,21.5 ,25.7 ,1.3 ,3.4 ,2.9 ,4317.0 
8.7 ,14.2 ,19.7 ,3.6 ,9.4 ,15.5 ,14.6 ,19.8 ,24.7 ,1.1 ,3.8 ,5.0 ,4495.0 
12.1 ,18.1 ,22.1 ,6.0 ,12.6 ,16.9 ,18.3 ,24.6 ,28.1 ,0.4 ,1.7 ,2.9 ,5037.0 
11.2 ,16.2 ,20.3 ,5.6 ,11.3 ,16.0 ,17.4 ,22.2 ,25.6 ,0.8 ,2.7 ,2.1 ,4320.0 
11.0 ,16.7 ,21.6 ,5.3 ,11.1 ,16.5 ,17.8 ,23.5 ,27.8 ,0.7 ,2.9 ,1.9 ,5191.0 
11.8 ,16.3 ,19.8 ,7.9 ,13.1 ,16.8 ,16.3 ,20.6 ,23.9 ,1.9 ,5.0 ,3.7 ,4960.0 
8.6 ,14.4 ,19.7 ,2.2 ,8.6 ,14.5 ,16.0 ,21.5 ,26.1 ,1.4 ,4.2 ,4.4 ,3663.0 
8.4 ,14.4 ,19.4 ,0.5 ,7.3 ,13.1 ,16.1 ,21.7 ,26.1 ,1.1 ,3.8 ,3.4 ,5236.0 
8.6 ,14.4 ,19.6 ,0.5 ,7.0 ,12.8 ,16.3 ,22.0 ,26.5 ,0.8 ,3.2 ,3.8 ,4282.0 
10.5 ,15.6 ,19.8 ,3.8 ,9.4 ,14.6 ,17.3 ,22.0 ,25.6 ,1.8 ,5.6 ,3.5 ,5712.0 
11.0 ,16.9 ,21.4 ,3.9 ,10.4 ,15.5 ,17.9 ,23.9 ,27.8 ,0.6 ,2.3 ,3.1 ,4788.0 
11.1 ,16.0 ,19.7 ,5.8 ,11.3 ,15.1 ,16.7 ,21.4 ,25.0 ,2.2 ,7.2 ,5.6 ,4545.0 
5.7 ,12.6 ,19.9 ,0.1 ,6.7 ,14.9 ,12.2 ,19.7 ,26.2 ,1.6 ,2.1 ,9.5 ,4260.0 
6.9 ,14.3 ,19.3 ,2.7 ,9.7 ,14.7 ,11.2 ,18.9 ,24.0 ,1.7 ,0.8 ,3.3 ,2845.0 
6.2 ,13.4 ,21.0 ,1.9 ,9.3 ,17.0 ,10.5 ,18.2 ,25.6 ,1.5 ,2.2 ,6.2 ,0.0 
6.7 ,12.9 ,19.7 ,2.8 ,9.8 ,16.6 ,10.6 ,16.8 ,23.8 ,1.7 ,1.8 ,6.5 ,3383.0 
7.2 ,14.0 ,21.1 ,1.8 ,7.8 ,16.2 ,12.6 ,20.2 ,26.3 ,2.1 ,2.4 ,4.6 ,3735.0 
7.1 ,13.0 ,19.8 ,2.4 ,8.0 ,16.2 ,12.4 ,18.7 ,24.8 ,2.0 ,2.0 ,3.6 ,4042.0 
9.1 ,15.8 ,22.0 ,4.4 ,10.0 ,16.7 ,14.4 ,21.9 ,27.5 ,1.5 ,1.3 ,3.2 ,4570.0 
8.9 ,14.5 ,19.8 ,4.1 ,9.3 ,15.4 ,14.0 ,20.1 ,24.9 ,2.4 ,1.9 ,4.3 ,4478.0 
9.2 ,14.8 ,21.5 ,4.0 ,9.4 ,17.4 ,14.7 ,21.0 ,27.1 ,2.1 ,3.6 ,4.0 ,4600.0 
9.7 ,14.4 ,19.9 ,5.9 ,10.7 ,16.9 ,13.9 ,18.9 ,23.6 ,4.1 ,2.9 ,5.6 ,4271.0 
5.7 ,12.6 ,19.9 ,0.1 ,6.7 ,14.9 ,12.2 ,19.7 ,26.2 ,1.6 ,2.1 ,9.5 ,4307.0 
5.7 ,12.5 ,19.7 ,-0.8 ,4.9 ,14.1 ,11.9 ,19.8 ,25.9 ,1.8 ,1.9 ,3.4 ,5343.0 
6.5 ,13.0 ,20.0 ,-0.2 ,5.2 ,14.1 ,12.8 ,20.4 ,26.4 ,1.8 ,1.9 ,4.8 ,4191.0 
8.0 ,13.3 ,19.8 ,2.6 ,7.2 ,16.0 ,13.2 ,19.2 ,24.6 ,2.9 ,4.1 ,4.4 ,5684.0 
8.0 ,15.0 ,21.3 ,2.4 ,7.9 ,15.4 ,13.9 ,21.7 ,27.5 ,1.5 ,1.2 ,2.6 ,4212.0 
9.3 ,14.0 ,19.7 ,4.7 ,9.3 ,15.3 ,13.8 ,19.2 ,25.0 ,5.3 ,4.1 ,6.0 ,5235.0 
6.3 ,12.7 ,20.4 ,0.2 ,7.6 ,14.5 ,13.6 ,19.2 ,27.6 ,0.2 ,6.0 ,1.0 ,4521.0 
9.0 ,13.6 ,19.4 ,4.0 ,9.3 ,15.4 ,14.0 ,18.5 ,23.6 ,0.8 ,5.8 ,1.3 ,3307.0 
7.0 ,13.6 ,21.4 ,2.9 ,9.6 ,17.0 ,12.0 ,18.5 ,26.7 ,0.6 ,3.8 ,1.5 ,0.0 
6.7 ,12.9 ,19.3 ,3.4 ,9.8 ,16.1 ,11.0 ,16.7 ,23.6 ,0.6 ,4.2 ,1.1 ,4233.0 
7.7 ,14.8 ,21.0 ,1.9 ,9.5 ,15.9 ,14.1 ,20.4 ,26.6 ,1.2 ,5.3 ,1.1 ,3983.0 
6.4 ,13.7 ,19.8 ,1.8 ,9.1 ,15.8 ,11.5 ,18.7 ,24.9 ,1.5 ,3.1 ,0.5 ,4254.0 
10.0 ,16.6 ,21.7 ,4.1 ,11.3 ,16.9 ,16.1 ,22.4 ,27.2 ,1.3 ,6.0 ,1.4 ,4553.0 
9.3 ,15.4 ,19.4 ,3.6 ,10.3 ,15.7 ,15.5 ,20.9 ,24.0 ,1.1 ,4.4 ,0.9 ,4587.0 
8.3 ,15.5 ,21.7 ,2.8 ,10.2 ,17.0 ,15.0 ,21.4 ,27.8 ,1.8 ,5.7 ,0.7 ,4863.0 
10.1 ,15.4 ,19.4 ,5.9 ,11.9 ,16.9 ,14.9 ,19.3 ,22.9 ,2.1 ,5.4 ,1.7 ,4588.0 
6.3 ,12.7 ,20.4 ,0.2 ,7.6 ,14.5 ,13.6 ,19.2 ,27.6 ,0.2 ,6.0 ,1.0 ,5224.0 
6.0 ,13.5 ,19.7 ,-1.6 ,6.4 ,13.6 ,13.7 ,20.2 ,26.2 ,1.1 ,6.3 ,1.0 ,4991.0 
6.2 ,14.0 ,20.2 ,-1.5 ,7.0 ,13.8 ,14.2 ,20.9 ,27.1 ,1.5 ,6.3 ,0.6 ,4151.0 
7.3 ,14.4 ,20.1 ,1.0 ,8.8 ,16.1 ,14.0 ,19.9 ,24.9 ,2.1 ,5.0 ,1.2 ,5236.0 
8.5 ,15.3 ,21.0 ,1.6 ,9.1 ,15.2 ,15.3 ,21.6 ,27.0 ,0.9 ,4.4 ,1.0 ,4579.0 
9.4 ,15.4 ,19.5 ,3.9 ,11.0 ,16.2 ,14.9 ,19.8 ,23.7 ,4.4 ,8.4 ,2.5 ,5503.0 
5.7 ,16.0 ,21.0 ,0.1 ,10.0 ,15.1 ,12.1 ,23.4 ,28.5 ,2.3 ,2.6 ,1.0 ,4709.0 
8.0 ,15.7 ,20.1 ,3.4 ,11.6 ,16.4 ,12.5 ,20.4 ,24.0 ,4.2 ,2.8 ,1.0 ,3673.0 
6.6 ,17.0 ,22.4 ,2.6 ,12.3 ,18.0 ,11.4 ,22.6 ,28.0 ,3.0 ,2.8 ,0.1 ,4100.0 
